City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Souillac,0,FR,1561566444,34,45.6,-0.6,102.0,10.29
Dikson,100,RU,1561566371,97,73.51,80.55,33.7,18.66
Kodiak,1,US,1561566391,57,39.95,-94.76,78.8,10.29
Punta Arenas,40,CL,1561566346,67,-53.16,-70.91,32.0,9.17
Whitehorse,75,CA,1561566456,76,60.72,-135.06,59.0,3.36
Barrow,62,AR,1561566384,27,-38.31,-60.23,53.68,27.51
Lata,34,IN,1561566378,81,30.78,78.62,43.78,2.1
Dingle,94,PH,1561566456,86,11.0,122.67,75.82,4.76
Ziyang,66,CN,1561566457,96,30.12,104.65,70.42,5.21
Rikitea,74,PF,1561566457,79,-23.12,-134.97,73.3,9.91
Bellevue,40,US,1561566459,59,47.61,-122.19,63.0,3.36
Toora-Khem,100,RU,1561566459,97,52.47,96.11,47.02,4.97
Kavaratti,100,IN,1561566460,74,10.57,72.64,84.28,13.2
Hilo,90,US,1561566396,83,19.71,-155.08,71.6,9.17
Hermanus,0,ZA,1561566460,89,-34.42,19.24,57.0,10.74
Maceio,75,BR,1561566460,74,-9.67,-35.74,78.8,16.11
Folkestone,1,US,1561566460,45,34.1,-80.94,88.0,5.82
Mahebourg,75,MU,1561566460,88,-20.41,57.7,75.2,17.22
Ahipara,57,NZ,1561566460,72,-35.17,173.16,56.2,13.44
Birjand,0,IR,1561566461,9,32.86,59.22,84.2,9.17
Arraial do Cabo,0,BR,1561566392,38,-22.97,-42.02,91.4,11.41
Cayenne,16,GF,1561566461,70,4.94,-52.33,84.2,12.75
Coihaique,75,CL,1561566461,100,-45.58,-72.07,44.6,3.85
Eureka,90,US,1561566462,82,40.8,-124.16,62.01,8.05
Katsuura,75,JP,1561566452,94,33.93,134.5,73.99,18.34
Soskovo,94,RU,1561566462,71,52.75,35.39,74.02,7.76
Nantucket,90,US,1561566462,83,41.28,-70.1,77.0,12.75
Puerto Ayora,20,EC,1561566462,61,-0.74,-90.35,80.6,3.36
Kuching,75,MY,1561566462,88,1.56,110.34,78.8,2.24
Bredasdorp,0,ZA,1561566463,87,-34.53,20.04,57.2,4.7
Kargasok,100,RU,1561566463,91,59.06,80.87,66.64,11.01
Hobart,0,AU,1561566347,93,-42.88,147.33,43.0,6.93
Kilindoni,0,TZ,1561566463,77,-7.91,39.67,79.6,22.57
Zhangjiakou,100,CN,1561566463,63,40.77,114.88,66.64,4.76
Mataura,84,NZ,1561566342,85,-46.19,168.86,50.0,5.01
Tessalit,12,ML,1561566463,5,20.2,1.01,113.62,13.76
Alofi,95,NU,1561566463,94,-19.06,-169.92,68.0,3.36
Le Port,0,FR,1561566464,21,42.87,1.37,91.99,1.99
Itoman,40,JP,1561566464,94,26.12,127.67,78.8,3.36
Port Alfred,33,ZA,1561566381,92,-33.59,26.89,61.0,1.01
Padang,5,ID,1561566434,70,-0.92,100.36,83.74,1.66
Rawson,2,AR,1561566465,46,-43.3,-65.11,50.08,29.73
Ushuaia,75,AR,1561566465,84,-54.81,-68.31,32.0,9.17
Kaeo,0,NZ,1561566397,95,-35.1,173.78,45.0,5.01
Mayumba,65,GA,1561566465,79,-3.44,10.65,74.74,9.48
Nikolskoye,75,RU,1561566365,59,59.7,30.79,66.0,6.71
Buin,75,CL,1561566465,57,-33.73,-70.74,48.2,2.71
Aklavik,40,CA,1561566465,65,68.22,-135.01,46.4,11.21
Kaitangata,82,NZ,1561566372,73,-46.28,169.85,46.99,1.99
Kununurra,99,AU,1561566412,62,-15.77,128.74,51.8,11.79
İskenderun,0,TR,1561566466,62,36.58,36.17,86.0,26.4
Ketchikan,1,US,1561566221,72,55.34,-131.65,64.4,6.93
Tiarei,40,PF,1561566466,78,-17.53,-149.33,77.0,8.05
Cancun,40,MX,1561566338,62,21.17,-86.85,87.8,16.11
Atuona,0,PF,1561566466,71,-9.8,-139.03,80.5,21.65
Iquique,20,CL,1561566334,67,-20.22,-70.14,62.6,12.75
Buala,84,SB,1561566466,82,-8.15,159.59,79.6,4.99
Jamestown,0,AU,1561566357,63,-33.21,138.6,51.16,9.89
Nanortalik,100,GL,1561566467,99,60.14,-45.24,42.16,11.97
Ribeira Grande,40,PT,1561566467,49,38.52,-28.7,71.6,14.99
Okahandja,0,NA,1561566467,17,-21.98,16.91,72.0,3.36
Castro,75,CL,1561566468,87,-42.48,-73.76,46.4,11.41
Udachnyy,75,RU,1561566468,37,66.42,112.4,71.6,6.71
Sitka,95,US,1561566468,65,37.17,-99.65,79.0,8.01
Qaanaaq,86,GL,1561566348,74,77.48,-69.36,35.32,1.54
Tema,67,GH,1561566468,79,5.66,-0.01,80.14,12.77
Albany,40,US,1561566412,51,42.65,-73.75,82.99,3.36
Esperance,90,AU,1561566459,82,-33.86,121.89,59.0,11.41
Bethel,90,US,1561566469,87,60.79,-161.76,62.6,11.41
Kavieng,89,PG,1561566422,77,-2.57,150.8,84.1,9.44
